source_system,org_id_source,org_name,org_type,address_line1,city,state,postal_code,country,updated_at,entity_key
CRM_A,CRM_A_O_ORG_0022_791,Agate-Savant Lab,Lab,"06/169
Chowdhury Road",Bharatpur,DL,152343,IN,2025-12-01T04:50:41,ORG_0022
CRM_B,CRM_B_O_ORG_0022_726,Agate-Savant Lab,Lab,"06/169
Chowdhury Road",Bharatpur,DL,152343,IN,2025-11-03T20:20:57,ORG_0022
CRM_A,CRM_A_O_ORG_0023_506,Garg PLC Lab,Lab,"36/95
Patla Path",Shivpuri,WX,405946,IN,2025-12-14T05:45:52,ORG_0023
CRM_B,CRM_B_O_ORG_0023_349,Garg PLC Lab,Lab,"36/95
Patla Path",Shivpuri,WX,405946,IN,2025-11-02T14:52:42,ORG_0023
CRM_B,CRM_B_O_ORG_0023_622,Garg PLC Lab,Lab,"36/95
Patla Path",Shivpuri,WX,405946,IN,2025-11-11T17:53:59,ORG_0023
CRM_A,CRM_A_O_ORG_0024_794,Bhatia-Rout Diagnostic Center,Diagnostic Center,"691, Rama Path",Khora ,OH,94185,US,2026-01-26T17:22:07,ORG_0024
CRM_B,CRM_B_O_ORG_0024_284,Bhatia-Rout Diagnostic Center,Diagnostic Center,"691, Rama Path",Khora ,OH,94185,US,2025-11-28T12:35:18,ORG_0024
CRM_B,CRM_B_O_ORG_0024_652,Bhatia-Rout Diagnostic Center,Diagnostic Center,"691, Rama Path",Khora ,OH,94185,US,2026-01-08T08:12:43,ORG_0024
CRM_A,CRM_A_O_ORG_0025_365,Saran Inc Diagnostic Center,Diagnostic Center,"61, Apte Nagar",Kamarhati,AK,85638,US,2026-01-24T22:00:41,ORG_0025
CRM_B,CRM_B_O_ORG_0025_933,Saran Inc Diagnostic Center,Diagnostic Center,61 Apte Nagar,Kamarhati,AK,85638,US,2026-01-24T11:24:56,ORG_0025
CRM_A,CRM_A_O_ORG_0026_362,Bose-Devan Hospital,Hospital,"45/96, Choudhary",Nandyal,AK,18052-5455,US,2025-12-30T10:16:52,ORG_0026
CRM_B,CRM_B_O_ORG_0026_755,Bose-Devan Hospital,Hospital,"45/96, Choudhary",Nandyal,AK,18052-5455,US,2025-11-03T17:33:34,ORG_0026
CRM_A,CRM_A_O_ORG_0027_750,Lal PLC Diagnostic Center,Diagnostic Center,"856
Jayaraman Ganj",Secunderabad,MI,37993,US,2026-01-12T04:25:18,ORG_0027
CRM_B,CRM_B_O_ORG_0027_956,Lal PLC Diagnostic Ctr,Diagnostic Center,"856
Jayaraman Ganj",Secunderabad,MI,37993,US,2025-11-03T19:33:50,ORG_0027
CRM_A,CRM_A_O_ORG_0028_362,"Vala, Luthra and Chada Hospital",Hospital,"87/870, Varty Zila",Chandigarh,TS,387771,IN,2025-11-15T00:06:59,ORG_0028
CRM_B,CRM_B_O_ORG_0028_795,"Vala, Luthra and Chada Hospital",Hospital,"87/870, Varty Zila",Chandigarh,TS,387771,IN,2025-10-10T12:20:36,ORG_0028
CRM_A,CRM_A_O_ORG_0029_156,Kashyap and Sons Pharmacy,Pharmacy,"52/33
Lata Zila",Rourkela,FL,76281,US,2026-02-07T19:39:26,ORG_0029
CRM_B,CRM_B_O_ORG_0029_746,Kashyap and Sons Pharmacy,Pharmacy,"52/33
Lata Zila",Rourkela,FL,76281,US,2026-01-24T12:09:24,ORG_0029
CRM_A,CRM_A_O_ORG_0029_859,Kashyap and Sons Pharmacy,Pharmacy,"52/33
Lata Zila",Rourkela,FL,76281,US,2026-01-14T20:15:42,ORG_0029
CRM_A,CRM_A_O_ORG_0030_171,Bumb-Sathe Hospital,Hospital,"71/278, Saha Chowk",Sambalpur,AK,62863,US,2025-11-27T04:04:51,ORG_0030
CRM_B,CRM_B_O_ORG_0030_861,Bumb-Sathe Hospital,Hospital,"71/278, Saha Chowk",Sambalpur,AK,62863,US,2025-10-23T13:07:28,ORG_0030
CRM_A,CRM_A_O_ORG_0031_708,"Uppal, Sundaram and Baria Pharmacy",Pharmacy,"220, Dhar Circle",Meerut,MD,69087,US,2026-01-06T12:08:27,ORG_0031
CRM_B,CRM_B_O_ORG_0031_519,"Uppal, Sundaram and Baria Pharmacy",Pharmacy,"220, Dhar Circle",Meerut,MD,69087,US,2025-11-30T21:59:33,ORG_0031
CRM_A,CRM_A_O_ORG_0032_632,Manda-Venkataraman Diagnostic Center,Diagnostic Center,"35/197
Chaudhari Circle",Rohtak,AK,70632-2682,US,2026-01-01T06:48:52,ORG_0032
CRM_B,CRM_B_O_ORG_0032_953,Manda-Venkataraman Diagnostic Ctr,Diagnostic Center,35/197 Chaudhari Circle,Rohtak,AK,70632-2682,US,2025-11-09T14:49:59,ORG_0032
CRM_B,CRM_B_O_ORG_0032_100,Manda-Venkataraman Diagnostic Center,Diagnostic Center,"35/197
Chaudhari Circle",Rohtak,AK,70632-2682,US,2026-01-07T08:13:27,ORG_0032
CRM_A,CRM_A_O_ORG_0033_870,"Pandit, Soni and Choudhury Diagnostic Center",Diagnostic Center,"H.No. 25, Badal",Gaya,WA,36765,US,2025-12-18T12:02:40,ORG_0033
CRM_B,CRM_B_O_ORG_0033_800,"Pandit, Soni and Choudhury Diagnostic Center",Diagnostic Center,"H.No. 25, Badal",Gaya,WA,36765,US,2025-11-30T10:41:05,ORG_0033
CRM_A,CRM_A_O_ORG_0034_286,"Menon, Gala and Deol Hospital",Hospital,"H.No. 701
Kapoor Circle",Mathura,CA,61021,US,2026-01-30T20:26:44,ORG_0034
CRM_B,CRM_B_O_ORG_0034_864,"Menon, Gala and Deol Hospital",Hospital,H.No. 701 Kapoor Circle,Mathura,CA,61021,US,2025-11-04T13:38:53,ORG_0034
CRM_A,CRM_A_O_ORG_0035_408,Tailor-Majumdar Hospital,Hospital,"H.No. 03, Om Nagar",Chapra,PA,84879,US,2025-11-13T08:57:10,ORG_0035
CRM_B,CRM_B_O_ORG_0035_843,Tailor-Majumdar Hospital,Hospital,"H.No. 03, Om Nagar",Chapra,PA,84879,US,2025-12-10T09:35:56,ORG_0035
CRM_A,CRM_A_O_ORG_0036_493,Natarajan Ltd Diagnostic Center,Diagnostic Center,"33, Palan Ganj",Muzaffarpur,NC,78329,US,2025-11-11T01:00:37,ORG_0036
CRM_B,CRM_B_O_ORG_0036_201,Natarajan Ltd Diagnostic Center,Diagnostic Center,"33, Palan Ganj",Muzaffarpur,NC,78329,US,2025-10-07T23:29:18,ORG_0036
CRM_A,CRM_A_O_ORG_0037_831,Tella-Gade Hospital,Hospital,"H.No. 152, Sur",Begusarai,FL,15463,US,2025-11-15T05:03:28,ORG_0037
CRM_B,CRM_B_O_ORG_0037_699,Tella-Gade Hospital,Hospital,"H.No. 152, Sur",Begusarai,FL,15463,US,2025-12-12T09:54:57,ORG_0037
CRM_A,CRM_A_O_ORG_0038_484,Mani-Raval Diagnostic Center,Diagnostic Center,"H.No. 167, Bera Nagar",Dehradun,AL,34850,US,2025-12-08T10:38:37,ORG_0038
CRM_B,CRM_B_O_ORG_0038_357,Mani-Raval Diagnostic Center,Diagnostic Center,"H.No. 167, Bera Nagar",Dehradun,AL,34850,US,2026-01-29T03:55:55,ORG_0038
CRM_B,CRM_B_O_ORG_0038_490,Mani-Raval Diagnostic Center,Diagnostic Center,"H.No. 167, Bera Nagar",Dehradun,AL,34850,US,2025-10-29T11:19:12,ORG_0038
CRM_A,CRM_A_O_ORG_0039_879,Varkey and Sons Lab,Lab,"407, Sant Marg",Naihati,TX,67636,US,2026-01-13T17:14:34,ORG_0039
CRM_B,CRM_B_O_ORG_0039_925,Varkey and Sons Lab,Lab,"407, Sant Marg",Naihati,TX,67636,US,2025-11-29T21:23:48,ORG_0039
CRM_A,CRM_A_O_ORG_0040_345,"Kala, Ramachandran and Dua Lab",Lab,"H.No. 350, Cheema Zila",Gopalpur,TX,42435,US,2025-11-16T13:21:57,ORG_0040
CRM_B,CRM_B_O_ORG_0040_161,"Kala, Ramachandran and Dua Lab",Lab,"H.No. 350, Cheema Zila",Gopalpur,TX,42435,US,2026-01-12T10:07:40,ORG_0040
CRM_A,CRM_A_O_ORG_0041_996,Purohit-Narain Diagnostic Center,Diagnostic Center,"29/18, Trivedi Road",Raurkela Industrial Township,VA,30869,US,2025-11-21T09:19:02,ORG_0041
CRM_A,CRM_A_O_ORG_0042_808,Mall-Sarna Pharmacy,Pharmacy,"H.No. 47, Bhakta Street",Unnao,CO,15677,US,2025-11-17T07:23:49,ORG_0042
CRM_B,CRM_B_O_ORG_0042_932,Mall-Sarna Pharmacy,Pharmacy,"H.No. 47, Bhakta Street",Unnao,CO,15677,US,2026-01-17T18:05:53,ORG_0042
CRM_A,CRM_A_O_ORG_0043_519,Mohan-Dass Lab,Lab,"56, Kurian Ganj",Firozabad,MD,66066,US,2026-02-08T07:21:57,ORG_0043
CRM_B,CRM_B_O_ORG_0043_692,Mohan-Dass Lab,Lab,"56, Kurian Ganj",Firozabad,MD,66066,US,2026-01-27T05:19:55,ORG_0043
CRM_A,CRM_A_O_ORG_0043_806,Mohan-Dass Lab,Lab,"56, Kurian Ganj",Firozabad,MD,66066,US,2026-02-09T01:09:12,ORG_0043
CRM_A,CRM_A_O_ORG_0044_228,Nanda-Chaudhuri Hospital,Hospital,"H.No. 44
Patil Marg",Tirupati,WA,36528,US,2025-11-19T08:16:20,ORG_0044
CRM_B,CRM_B_O_ORG_0044_547,Nanda-Chaudhuri Hospital,Hospital,"H.No. 44
Patil Marg",Tirupati,WA,36528,US,2026-01-05T16:14:39,ORG_0044
CRM_A,CRM_A_O_ORG_0045_196,"Bir, Master and Nadkarni Clinic",Clinic,"H.No. 28, Walla Circle",Bihar Sharif,PA,70558,US,2026-01-25T04:02:15,ORG_0045
CRM_A,CRM_A_O_ORG_0046_872,Nadkarni-Badal Diagnostic Center,Diagnostic Center,"H.No. 431, Memon Chowk",Solapur,NC,39095,US,2025-12-26T11:33:12,ORG_0046
CRM_B,CRM_B_O_ORG_0046_908,Nadkarni-Badal Diagnostic Ctr,Diagnostic Center,"H.No. 431, Memon Chowk",Solapur,NC,39095,US,2025-11-12T05:36:03,ORG_0046
CRM_A,CRM_A_O_ORG_0047_841,Chaudhari and Sons Hospital,Hospital,"99/754
Kanda Circle",Morbi,AZ,26486,US,2025-10-12T14:39:02,ORG_0047
CRM_B,CRM_B_O_ORG_0047_137,Chaudhari and Sons Hosp,Hospital,"99/754
Kanda Circle",Morbi,AZ,26486,US,2026-01-05T05:24:47,ORG_0047
CRM_A,CRM_A_O_ORG_0048_600,Sule-Deo Pharmacy,Pharmacy,"15/422
D’Alia Road",Ratlam,TN,211668,IN,2026-01-15T09:38:52,ORG_0048
CRM_B,CRM_B_O_ORG_0048_189,Sule-Deo Pharmacy,Pharmacy,"15/422
D’Alia Road",Ratlam,TN,211668,IN,2025-11-10T06:20:23,ORG_0048
CRM_A,CRM_A_O_ORG_0049_385,Jani PLC Pharmacy,Pharmacy,"H.No. 12, Soman Road",Bokaro,KA,957928,IN,2025-10-15T09:08:09,ORG_0049
CRM_B,CRM_B_O_ORG_0049_777,Jani PLC Pharmacy,Pharmacy,"H.No. 12, Soman Road",Bokaro,KA,957928,IN,2026-01-29T14:39:07,ORG_0049
CRM_A,CRM_A_O_ORG_0050_254,Shah and Sons Diagnostic Center,Diagnostic Center,"41, Subramanian",Thrissur,AL,26392,US,2025-11-10T02:59:03,ORG_0050
CRM_B,CRM_B_O_ORG_0050_854,Shah and Sons Diagnostic Center,Diagnostic Center,41 Subramanian,Thrissur,AL,26392,US,2025-11-30T22:52:57,ORG_0050
CRM_B,CRM_B_O_ORG_0050_903,Shah and Sons Diagnostic Center,Diagnostic Center,"41, Subramanian",Thrissur,AL,26392,US,2025-12-01T23:47:29,ORG_0050
CRM_A,CRM_A_O_ORG_0051_597,Bawa-Ben Clinic,Clinic,"239
Suri",Bhagalpur,WY,682557,IN,2025-10-16T21:17:47,ORG_0051
CRM_B,CRM_B_O_ORG_0051_350,Bawa-Ben Clinic,Clinic,"239
Suri",Bhagalpur,WY,682557,IN,2025-12-11T06:06:57,ORG_0051
CRM_A,CRM_A_O_ORG_0052_169,Pradhan and Sons Pharmacy,Pharmacy,"H.No. 858, Sharma Ganj",Raurkela Industrial Township,WB,931896,IN,2025-12-09T08:35:38,ORG_0052
CRM_B,CRM_B_O_ORG_0052_993,Pradhan and Sons Pharmacy,Pharmacy,"H.No. 858, Sharma Ganj",Raurkela Industrial Township,WB,931896,IN,2026-02-01T15:08:04,ORG_0052
CRM_A,CRM_A_O_ORG_0053_709,"Gola, Sagar and Kara Hospital",Hospital,"H.No. 894, Chaudhry Path",Proddatur,NY,75701,US,2025-12-06T17:39:20,ORG_0053
CRM_B,CRM_B_O_ORG_0053_938,"Gola, Sagar and Kara Hospital",Hospital,"H.No. 894, Chaudhry Path",Proddatur,NY,75701,US,2025-12-10T12:20:02,ORG_0053
CRM_A,CRM_A_O_ORG_0054_114,"Pal, Tripathi and Varty Pharmacy",Pharmacy,"11/99, Golla Road",Mehsana,MD,61109,US,2026-02-04T11:28:37,ORG_0054
CRM_B,CRM_B_O_ORG_0054_400,"Pal, Tripathi and Varty Pharmacy",Pharmacy,"11/99, Golla Road",Mehsana,MD,61109,US,2026-01-31T20:12:42,ORG_0054
CRM_B,CRM_B_O_ORG_0054_792,"Pal, Tripathi and Varty Pharmacy",Pharmacy,11/99 Golla Road,Mehsana,MD,61109,US,2025-11-15T04:18:07,ORG_0054
CRM_A,CRM_A_O_ORG_0055_825,"Keer, Mangal and Deshmukh Pharmacy",Pharmacy,"43, Nagar Ganj",Maheshtala,WA,29192,US,2025-11-25T05:09:45,ORG_0055
CRM_B,CRM_B_O_ORG_0055_726,"Keer, Mangal and Deshmukh Pharmacy",Pharmacy,"43, Nagar Ganj",Maheshtala,WA,29192,US,2025-11-04T05:32:39,ORG_0055
CRM_A,CRM_A_O_ORG_0056_299,Hayre-Guha Lab,Lab,"71/97
Arora Street",Dhanbad,CO,48692,US,2026-02-05T15:20:26,ORG_0056
CRM_B,CRM_B_O_ORG_0056_683,Hayre-Guha Lab,Lab,"71/97
Arora Street",Dhanbad,CO,48692,US,2025-10-10T14:57:14,ORG_0056
CRM_A,CRM_A_O_ORG_0056_608,Hayre-Guha Lab,Lab,"71/97
Arora Street",Dhanbad,CO,48692,US,2026-02-06T04:26:15,ORG_0056
CRM_A,CRM_A_O_ORG_0057_380,"Kale, Goyal and Manne Hospital",Hospital,"H.No. 30, Buch Nagar",Kamarhati,OH,96330,US,2025-12-24T05:30:03,ORG_0057
CRM_B,CRM_B_O_ORG_0057_718,"Kale, Goyal and Manne Hospital",Hospital,"H.No. 30, Buch Nagar",Kamarhati,OH,96330,US,2025-10-21T07:30:34,ORG_0057
CRM_A,CRM_A_O_ORG_0058_185,Puri and Sons Hospital,Hospital,"430, Tank Circle",Farrukhabad,NY,65993,US,2026-01-13T17:44:12,ORG_0058
CRM_A,CRM_A_O_ORG_0059_574,Srinivasan-Thakkar Pharmacy,Pharmacy,"07/12, Ganesh Zila",Shimla,UP,213598,IN,2026-01-16T14:40:33,ORG_0059
CRM_B,CRM_B_O_ORG_0059_310,Srinivasan-Thakkar Pharmacy,Pharmacy,"07/12, Ganesh Zila",Shimla,UP,213598,IN,2025-11-16T10:01:00,ORG_0059
CRM_A,CRM_A_O_ORG_0060_715,"Zacharia, Sankaran and Brahmbhatt Pharmacy",Pharmacy,"419, Gola Circle",Ujjain,WA,69671,US,2026-01-06T06:40:49,ORG_0060
CRM_B,CRM_B_O_ORG_0060_420,"Zacharia, Sankaran and Brahmbhatt Pharmacy",Pharmacy,"419, Gola Circle",Ujjain,WA,69671,US,2026-01-21T08:48:00,ORG_0060
CRM_A,CRM_A_O_ORG_0061_212,Mannan-Parsa Pharmacy,Pharmacy,"H.No. 769, Bose",Asansol,AK,40740,US,2026-01-29T04:43:22,ORG_0061
CRM_B,CRM_B_O_ORG_0061_169,Mannan-Parsa Pharmacy,Pharmacy,"H.No. 769, Bose",Asansol,AK,40740,US,2025-12-10T09:33:36,ORG_0061
CRM_A,CRM_A_O_ORG_0062_664,"Kade, Chada and Chana Diagnostic Center",Diagnostic Center,"89
Chhabra Path",Machilipatnam,IL,29967,US,2026-01-12T12:02:46,ORG_0062
CRM_A,CRM_A_O_ORG_0063_437,Bhalla-Chhabra Pharmacy,Pharmacy,"H.No. 544, Dhawan Nagar",Bahraich,MA,57779,US,2025-12-12T02:49:44,ORG_0063
CRM_B,CRM_B_O_ORG_0063_404,Bhalla-Chhabra Pharmacy,Pharmacy,"H.No. 544, Dhawan Nagar",Bahraich,MA,57779,US,2025-12-26T11:27:33,ORG_0063
CRM_A,CRM_A_O_ORG_0064_760,Bhargava-Dada Clinic,Clinic,"162, Sinha Path",Tiruchirappalli,NY,21566,US,2026-01-15T00:49:07,ORG_0064
CRM_B,CRM_B_O_ORG_0064_667,Bhargava-Dada Clinic,Clinic,"162, Sinha Path",Tiruchirappalli,NY,21566,US,2025-10-20T01:05:47,ORG_0064
CRM_A,CRM_A_O_ORG_0065_805,Bandi Inc Diagnostic Center,Diagnostic Center,"68, Sinha Path",Mathura,IL,70116,US,2025-12-09T01:01:10,ORG_0065
CRM_B,CRM_B_O_ORG_0065_271,Bandi Inc Diagnostic Center,Diagnostic Center,"68, Sinha Path",Mathura,IL,70116,US,2025-10-13T01:40:43,ORG_0065
CRM_B,CRM_B_O_ORG_0065_646,Bandi Inc Diagnostic Center,Diagnostic Center,"68, Sinha Path",Mathura,IL,70116,US,2025-11-20T10:04:49,ORG_0065
CRM_A,CRM_A_O_ORG_0066_126,"Soman, Khalsa and Madan Clinic",Clinic,"18/458
Rama Zila",Nashik,MA,24944,US,2025-12-27T12:14:41,ORG_0066
CRM_B,CRM_B_O_ORG_0066_196,"Soman, Khalsa and Madan Clinic",Clinic,"18/458
Rama Zila",Nashik,MA,24944,US,2025-12-15T11:04:27,ORG_0066
CRM_A,CRM_A_O_ORG_0067_129,Chhabra and Sons Lab,Lab,"23/63, Desai Chowk",Gorakhpur,VA,22606-1718,US,2026-01-25T11:21:01,ORG_0067
CRM_B,CRM_B_O_ORG_0067_793,Chhabra and Sons Lab,Lab,"23/63, Desai Chowk",Gorakhpur,VA,22606-1718,US,2025-10-25T04:09:25,ORG_0067
CRM_A,CRM_A_O_ORG_0068_130,Dewan PLC Hospital,Hospital,"31/026, Kaul Street",Nagpur,CO,27635,US,2026-02-17T22:05:29,ORG_0068
CRM_B,CRM_B_O_ORG_0068_774,Dewan PLC Hospital,Hospital,"31/026, Kaul Street",Nagpur,CO,27635,US,2025-12-05T06:28:45,ORG_0068
CRM_A,CRM_A_O_ORG_0068_118,Dewan PLC Hospital,Hospital,"31/026, Kaul Street",Nagpur,CO,27635,US,2025-11-28T20:08:10,ORG_0068
CRM_A,CRM_A_O_ORG_0069_850,Bansal-Rajagopal Clinic,Clinic,"48/252
Dutta Street",Ichalkaranji,TX,71436,US,2026-01-30T04:23:08,ORG_0069
CRM_B,CRM_B_O_ORG_0069_717,Bansal-Rajagopal Clnc,Clinic,"48/252
Dutta Street",Ichalkaranji,TX,71436,US,2025-11-04T01:47:16,ORG_0069
