provider_id_source,org_id_source,affiliation_type,start_date
CRM_A_P_PROV_00028_263,CRM_B_O_ORG_0290_339,Secondary,2022-11-04
CRM_B_P_PROV_00028_277,CRM_B_O_ORG_0023_622,Primary,2023-11-03
CRM_A_P_PROV_00029_691,CRM_A_O_ORG_0181_714,Primary,2022-08-23
CRM_B_P_PROV_00029_180,CRM_B_O_ORG_0405_332,Primary,2024-02-05
CRM_B_P_PROV_00029_180,CRM_B_O_ORG_0109_566,Secondary,2023-10-18
CRM_A_P_PROV_00030_250,CRM_B_O_ORG_0340_840,Primary,2021-02-25
CRM_A_P_PROV_00030_250,CRM_B_O_ORG_0129_517,Secondary,2025-09-08
CRM_B_P_PROV_00030_507,CRM_B_O_ORG_0346_445,Primary,2025-06-19
CRM_A_P_PROV_00031_515,CRM_B_O_ORG_0169_453,Primary,2025-04-16
CRM_B_P_PROV_00031_274,CRM_A_O_ORG_0391_130,Primary,2023-10-25
CRM_B_P_PROV_00031_274,CRM_B_O_ORG_0265_690,Secondary,2025-12-13
CRM_A_P_PROV_00032_885,CRM_A_O_ORG_0285_250,Primary,2025-02-20
CRM_B_P_PROV_00032_605,CRM_B_O_ORG_0231_526,Primary,2024-04-17
CRM_B_P_PROV_00032_605,CRM_B_O_ORG_0354_957,Secondary,2024-07-18
CRM_B_P_PROV_00032_334,CRM_B_O_ORG_0007_462,Primary,2020-10-26
CRM_A_P_PROV_00033_735,CRM_A_O_ORG_0289_957,Primary,2022-04-08
CRM_B_P_PROV_00033_785,CRM_A_O_ORG_0084_669,Primary,2024-05-08
CRM_B_P_PROV_00033_785,CRM_A_O_ORG_0067_129,Secondary,2022-08-11
CRM_A_P_PROV_00034_258,CRM_A_O_ORG_0127_502,Primary,2022-08-13
CRM_A_P_PROV_00034_258,CRM_A_O_ORG_0316_108,Secondary,2022-05-21
CRM_B_P_PROV_00034_872,CRM_B_O_ORG_0213_369,Primary,2023-10-11
CRM_A_P_PROV_00035_707,CRM_A_O_ORG_0273_322,Primary,2023-11-23
CRM_A_P_PROV_00035_707,CRM_A_O_ORG_0057_380,Secondary,2025-11-06
CRM_B_P_PROV_00035_539,CRM_A_O_ORG_0192_107,Primary,2022-10-29
CRM_A_P_PROV_00036_268,CRM_A_O_ORG_0332_909,Primary,2023-09-02
CRM_A_P_PROV_00036_213,CRM_B_O_ORG_0268_395,Primary,2023-05-30
CRM_A_P_PROV_00037_946,CRM_A_O_ORG_0034_286,Primary,2024-01-23
CRM_B_P_PROV_00037_845,CRM_A_O_ORG_0298_373,Primary,2024-01-24
CRM_B_P_PROV_00037_750,CRM_A_O_ORG_0390_115,Primary,2023-09-03
CRM_A_P_PROV_00038_631,CRM_A_O_ORG_0415_293,Primary,2024-02-17
CRM_B_P_PROV_00038_630,CRM_B_O_ORG_0304_602,Primary,2020-09-24
CRM_A_P_PROV_00038_376,CRM_A_O_ORG_0209_168,Primary,2023-01-25
CRM_A_P_PROV_00038_376,CRM_A_O_ORG_0214_971,Secondary,2022-06-24
CRM_A_P_PROV_00039_151,CRM_A_O_ORG_0013_888,Primary,2024-06-18
CRM_B_P_PROV_00039_394,CRM_A_O_ORG_0188_612,Primary,2023-05-29
CRM_A_P_PROV_00039_336,CRM_A_O_ORG_0167_911,Primary,2022-10-08
CRM_A_P_PROV_00039_336,CRM_B_O_ORG_0309_239,Secondary,2023-02-20
CRM_A_P_PROV_00040_202,CRM_A_O_ORG_0326_688,Primary,2022-11-26
CRM_A_P_PROV_00040_202,CRM_A_O_ORG_0029_859,Secondary,2020-09-27
CRM_B_P_PROV_00040_364,CRM_B_O_ORG_0196_723,Primary,2024-08-24
CRM_B_P_PROV_00040_322,CRM_A_O_ORG_0307_712,Primary,2021-10-08
CRM_B_P_PROV_00040_322,CRM_A_O_ORG_0144_219,Secondary,2021-12-23
CRM_A_P_PROV_00041_267,CRM_B_O_ORG_0096_380,Primary,2024-03-24
CRM_B_P_PROV_00041_906,CRM_B_O_ORG_0257_446,Primary,2020-10-20
CRM_A_P_PROV_00042_355,CRM_A_O_ORG_0171_693,Primary,2025-07-06
CRM_B_P_PROV_00042_836,CRM_A_O_ORG_0061_212,Primary,2024-07-22
CRM_B_P_PROV_00042_836,CRM_A_O_ORG_0223_252,Secondary,2020-12-08
CRM_A_P_PROV_00043_751,CRM_A_O_ORG_0312_760,Primary,2022-01-09
CRM_B_P_PROV_00043_774,CRM_A_O_ORG_0068_118,Primary,2023-08-28
CRM_A_P_PROV_00044_227,CRM_B_O_ORG_0299_585,Primary,2023-12-14
CRM_A_P_PROV_00044_227,CRM_A_O_ORG_0254_385,Secondary,2025-01-15
CRM_B_P_PROV_00044_736,CRM_A_O_ORG_0012_566,Primary,2023-08-14
CRM_B_P_PROV_00044_736,CRM_A_O_ORG_0164_850,Secondary,2022-04-13
CRM_A_P_PROV_00045_974,CRM_A_O_ORG_0161_470,Primary,2022-02-14
CRM_B_P_PROV_00045_302,CRM_A_O_ORG_0273_591,Primary,2021-11-29
CRM_B_P_PROV_00045_151,CRM_A_O_ORG_0070_897,Primary,2025-08-27
CRM_B_P_PROV_00045_151,CRM_A_O_ORG_0309_271,Secondary,2022-10-13
CRM_A_P_PROV_00046_122,CRM_B_O_ORG_0130_118,Primary,2023-10-06
CRM_B_P_PROV_00046_228,CRM_B_O_ORG_0191_259,Primary,2024-11-08
CRM_A_P_PROV_00047_474,CRM_B_O_ORG_0254_907,Primary,2023-12-06
CRM_A_P_PROV_00047_474,CRM_B_O_ORG_0071_563,Secondary,2023-09-21
CRM_A_P_PROV_00048_153,CRM_B_O_ORG_0076_301,Primary,2021-09-05
CRM_B_P_PROV_00048_480,CRM_A_O_ORG_0306_892,Primary,2023-10-23
CRM_A_P_PROV_00049_622,CRM_A_O_ORG_0335_700,Primary,2022-07-12
CRM_B_P_PROV_00049_457,CRM_B_O_ORG_0342_967,Primary,2023-09-12
CRM_A_P_PROV_00050_360,CRM_A_O_ORG_0044_228,Primary,2023-03-05
CRM_A_P_PROV_00050_360,CRM_B_O_ORG_0107_709,Secondary,2022-11-08
CRM_A_P_PROV_00051_978,CRM_A_O_ORG_0419_385,Primary,2025-05-12
CRM_A_P_PROV_00051_978,CRM_A_O_ORG_0380_278,Secondary,2025-11-22
CRM_B_P_PROV_00051_351,CRM_A_O_ORG_0019_637,Primary,2022-12-17
CRM_A_P_PROV_00052_993,CRM_B_O_ORG_0149_659,Primary,2025-10-31
CRM_B_P_PROV_00052_396,CRM_B_O_ORG_0255_690,Primary,2022-09-16
CRM_B_P_PROV_00052_809,CRM_A_O_ORG_0403_952,Primary,2023-08-30
CRM_A_P_PROV_00053_883,CRM_B_O_ORG_0346_445,Primary,2025-11-30
CRM_B_P_PROV_00053_200,CRM_B_O_ORG_0319_498,Primary,2020-10-10
CRM_A_P_PROV_00054_495,CRM_A_O_ORG_0120_345,Primary,2022-08-05
CRM_A_P_PROV_00054_495,CRM_A_O_ORG_0030_171,Secondary,2025-11-23
CRM_A_P_PROV_00055_190,CRM_B_O_ORG_0219_553,Primary,2022-11-23
CRM_B_P_PROV_00055_876,CRM_B_O_ORG_0267_429,Primary,2024-03-28
CRM_B_P_PROV_00055_876,CRM_A_O_ORG_0077_278,Secondary,2023-01-29
CRM_A_P_PROV_00056_112,CRM_A_O_ORG_0068_130,Primary,2024-12-24
CRM_B_P_PROV_00056_558,CRM_A_O_ORG_0307_712,Primary,2023-11-25
CRM_A_P_PROV_00057_628,CRM_A_O_ORG_0388_589,Primary,2025-09-19
CRM_B_P_PROV_00057_878,CRM_A_O_ORG_0140_968,Primary,2021-05-01
CRM_A_P_PROV_00058_454,CRM_A_O_ORG_0189_781,Primary,2025-09-29
CRM_A_P_PROV_00059_369,CRM_B_O_ORG_0360_236,Primary,2023-09-25
CRM_B_P_PROV_00059_462,CRM_B_O_ORG_0227_653,Primary,2023-03-01
CRM_B_P_PROV_00059_462,CRM_A_O_ORG_0400_823,Secondary,2020-09-04
CRM_A_P_PROV_00060_312,CRM_B_O_ORG_0400_208,Primary,2022-02-21
CRM_A_P_PROV_00061_314,CRM_A_O_ORG_0188_961,Primary,2022-09-18
CRM_B_P_PROV_00061_118,CRM_A_O_ORG_0293_564,Primary,2023-07-24
CRM_A_P_PROV_00062_959,CRM_A_O_ORG_0213_730,Primary,2024-08-26
CRM_B_P_PROV_00062_445,CRM_B_O_ORG_0239_634,Primary,2023-12-08
CRM_A_P_PROV_00063_619,CRM_A_O_ORG_0372_875,Primary,2023-04-03
CRM_B_P_PROV_00063_632,CRM_A_O_ORG_0283_120,Primary,2024-07-08
CRM_B_P_PROV_00063_632,CRM_B_O_ORG_0227_393,Secondary,2022-11-24
CRM_A_P_PROV_00064_890,CRM_A_O_ORG_0358_506,Primary,2026-01-04
CRM_A_P_PROV_00064_890,CRM_B_O_ORG_0411_649,Secondary,2023-02-01
CRM_B_P_PROV_00064_681,CRM_B_O_ORG_0360_236,Primary,2021-05-28
CRM_A_P_PROV_00065_256,CRM_B_O_ORG_0202_101,Primary,2025-07-13
CRM_B_P_PROV_00065_230,CRM_B_O_ORG_0252_111,Primary,2023-07-21
CRM_B_P_PROV_00065_230,CRM_A_O_ORG_0060_715,Secondary,2025-03-10
CRM_A_P_PROV_00066_562,CRM_A_O_ORG_0399_497,Primary,2021-05-13
CRM_B_P_PROV_00066_269,CRM_A_O_ORG_0164_850,Primary,2023-05-02
CRM_A_P_PROV_00067_512,CRM_B_O_ORG_0077_627,Primary,2021-09-16
CRM_B_P_PROV_00067_639,CRM_B_O_ORG_0289_196,Primary,2023-07-27
CRM_B_P_PROV_00067_639,CRM_B_O_ORG_0367_323,Secondary,2023-05-18
CRM_A_P_PROV_00068_134,CRM_A_O_ORG_0086_996,Primary,2021-06-02
CRM_B_P_PROV_00068_410,CRM_B_O_ORG_0050_854,Primary,2020-09-10
CRM_B_P_PROV_00068_410,CRM_A_O_ORG_0394_275,Secondary,2021-11-25
CRM_B_P_PROV_00068_340,CRM_B_O_ORG_0299_585,Primary,2023-06-06
CRM_A_P_PROV_00069_132,CRM_A_O_ORG_0394_275,Primary,2023-10-04
CRM_B_P_PROV_00069_518,CRM_A_O_ORG_0021_337,Primary,2024-07-16
CRM_A_P_PROV_00070_681,CRM_B_O_ORG_0258_658,Primary,2023-04-08
CRM_B_P_PROV_00070_246,CRM_A_O_ORG_0287_175,Primary,2025-02-08
CRM_A_P_PROV_00071_396,CRM_B_O_ORG_0273_413,Primary,2023-01-26
CRM_B_P_PROV_00071_814,CRM_A_O_ORG_0212_645,Primary,2022-02-20
CRM_A_P_PROV_00072_417,CRM_A_O_ORG_0142_787,Primary,2025-05-01
CRM_B_P_PROV_00072_569,CRM_B_O_ORG_0173_143,Primary,2020-10-22
CRM_B_P_PROV_00072_569,CRM_A_O_ORG_0138_615,Secondary,2025-04-27
CRM_A_P_PROV_00073_499,CRM_B_O_ORG_0226_772,Primary,2025-08-16
CRM_B_P_PROV_00073_327,CRM_B_O_ORG_0082_859,Primary,2023-10-01
CRM_A_P_PROV_00074_560,CRM_A_O_ORG_0222_704,Primary,2021-04-25
CRM_B_P_PROV_00074_514,CRM_B_O_ORG_0256_281,Primary,2022-11-03
CRM_A_P_PROV_00075_117,CRM_B_O_ORG_0232_287,Primary,2023-08-13
CRM_B_P_PROV_00075_347,CRM_B_O_ORG_0168_733,Primary,2021-03-22
CRM_B_P_PROV_00075_347,CRM_A_O_ORG_0160_386,Secondary,2024-02-17
CRM_B_P_PROV_00075_269,CRM_B_O_ORG_0126_266,Primary,2020-11-24
CRM_B_P_PROV_00075_269,CRM_B_O_ORG_0208_174,Secondary,2023-12-28
CRM_A_P_PROV_00076_633,CRM_A_O_ORG_0242_588,Primary,2024-09-23
CRM_B_P_PROV_00076_578,CRM_A_O_ORG_0097_471,Primary,2025-09-11
CRM_A_P_PROV_00077_566,CRM_A_O_ORG_0286_849,Primary,2024-01-29
CRM_B_P_PROV_00077_935,CRM_B_O_ORG_0049_777,Primary,2022-12-23
CRM_A_P_PROV_00078_175,CRM_A_O_ORG_0404_278,Primary,2024-09-07
CRM_B_P_PROV_00078_124,CRM_A_O_ORG_0310_180,Primary,2023-12-24
CRM_A_P_PROV_00079_442,CRM_B_O_ORG_0119_714,Primary,2024-03-07
CRM_A_P_PROV_00079_442,CRM_B_O_ORG_0022_726,Secondary,2022-04-15
CRM_B_P_PROV_00079_483,CRM_A_O_ORG_0185_130,Primary,2021-09-20
CRM_A_P_PROV_00080_127,CRM_B_O_ORG_0126_266,Primary,2024-11-04
CRM_A_P_PROV_00080_127,CRM_A_O_ORG_0261_485,Secondary,2021-06-16
CRM_B_P_PROV_00080_284,CRM_A_O_ORG_0241_106,Primary,2022-11-12
CRM_B_P_PROV_00080_341,CRM_A_O_ORG_0239_319,Primary,2025-05-28
CRM_A_P_PROV_00081_811,CRM_B_O_ORG_0235_170,Primary,2024-06-02
CRM_B_P_PROV_00081_966,CRM_B_O_ORG_0038_490,Primary,2023-02-19
CRM_A_P_PROV_00082_257,CRM_B_O_ORG_0206_800,Primary,2023-05-27
CRM_A_P_PROV_00082_257,CRM_B_O_ORG_0299_374,Secondary,2021-11-01
CRM_B_P_PROV_00082_883,CRM_A_O_ORG_0200_851,Primary,2023-11-23
CRM_A_P_PROV_00083_472,CRM_A_O_ORG_0227_167,Primary,2025-06-12
CRM_B_P_PROV_00083_125,CRM_A_O_ORG_0373_920,Primary,2022-05-03
CRM_B_P_PROV_00083_125,CRM_B_O_ORG_0217_459,Secondary,2023-12-21
CRM_B_P_PROV_00083_939,CRM_A_O_ORG_0060_715,Primary,2021-03-20
CRM_B_P_PROV_00083_939,CRM_A_O_ORG_0144_219,Secondary,2021-06-10
CRM_A_P_PROV_00084_743,CRM_A_O_ORG_0295_306,Primary,2023-06-15
CRM_B_P_PROV_00084_841,CRM_B_O_ORG_0247_690,Primary,2023-11-27
CRM_A_P_PROV_00085_470,CRM_B_O_ORG_0382_896,Primary,2024-08-19
CRM_B_P_PROV_00085_149,CRM_A_O_ORG_0375_837,Primary,2021-01-25
CRM_B_P_PROV_00085_570,CRM_B_O_ORG_0111_116,Primary,2020-10-26
CRM_B_P_PROV_00085_570,CRM_B_O_ORG_0131_937,Secondary,2023-05-18
CRM_A_P_PROV_00086_183,CRM_A_O_ORG_0318_825,Primary,2022-10-04
CRM_B_P_PROV_00086_739,CRM_B_O_ORG_0020_316,Primary,2025-09-28
CRM_A_P_PROV_00087_175,CRM_A_O_ORG_0415_293,Primary,2025-08-27
CRM_B_P_PROV_00087_424,CRM_B_O_ORG_0173_143,Primary,2022-06-21
CRM_B_P_PROV_00087_520,CRM_B_O_ORG_0354_957,Primary,2021-10-09
CRM_A_P_PROV_00088_744,CRM_A_O_ORG_0094_388,Primary,2025-12-20
CRM_B_P_PROV_00088_722,CRM_A_O_ORG_0374_966,Primary,2022-01-10
CRM_B_P_PROV_00088_722,CRM_A_O_ORG_0314_879,Secondary,2022-09-04
CRM_A_P_PROV_00089_167,CRM_A_O_ORG_0115_841,Primary,2021-10-10
CRM_B_P_PROV_00089_451,CRM_B_O_ORG_0404_921,Primary,2024-06-18
CRM_A_P_PROV_00090_204,CRM_B_O_ORG_0038_490,Primary,2024-03-16
CRM_B_P_PROV_00090_729,CRM_A_O_ORG_0154_653,Primary,2023-02-25
CRM_B_P_PROV_00090_729,CRM_B_O_ORG_0262_278,Secondary,2023-05-12
CRM_B_P_PROV_00090_215,CRM_B_O_ORG_0390_113,Primary,2024-12-06
CRM_A_P_PROV_00091_124,CRM_B_O_ORG_0015_293,Primary,2020-12-19
CRM_B_P_PROV_00091_497,CRM_B_O_ORG_0266_215,Primary,2023-10-23
CRM_A_P_PROV_00092_690,CRM_A_O_ORG_0354_844,Primary,2024-08-15
CRM_B_P_PROV_00092_294,CRM_A_O_ORG_0127_502,Primary,2025-08-12
CRM_A_P_PROV_00093_279,CRM_B_O_ORG_0227_653,Primary,2025-12-03
CRM_B_P_PROV_00093_915,CRM_B_O_ORG_0225_611,Primary,2025-11-08
CRM_A_P_PROV_00094_423,CRM_A_O_ORG_0315_586,Primary,2024-12-12
CRM_B_P_PROV_00094_112,CRM_A_O_ORG_0367_153,Primary,2025-07-10
CRM_B_P_PROV_00094_112,CRM_A_O_ORG_0393_366,Secondary,2024-06-12
CRM_B_P_PROV_00094_131,CRM_B_O_ORG_0242_296,Primary,2025-03-05
CRM_A_P_PROV_00095_132,CRM_A_O_ORG_0303_423,Primary,2023-08-06
CRM_A_P_PROV_00095_132,CRM_B_O_ORG_0026_755,Secondary,2022-02-16
CRM_B_P_PROV_00095_623,CRM_A_O_ORG_0188_961,Primary,2023-01-21
CRM_A_P_PROV_00096_140,CRM_A_O_ORG_0341_277,Primary,2021-12-08
CRM_B_P_PROV_00096_288,CRM_B_O_ORG_0297_691,Primary,2023-07-17
CRM_A_P_PROV_00097_657,CRM_A_O_ORG_0131_105,Primary,2020-10-05
CRM_A_P_PROV_00097_657,CRM_B_O_ORG_0401_152,Secondary,2022-05-28
CRM_B_P_PROV_00097_260,CRM_B_O_ORG_0009_763,Primary,2021-09-04
CRM_B_P_PROV_00097_887,CRM_A_O_ORG_0238_336,Primary,2024-05-04
CRM_B_P_PROV_00097_887,CRM_B_O_ORG_0383_519,Secondary,2020-12-19
CRM_A_P_PROV_00098_113,CRM_B_O_ORG_0166_145,Primary,2025-10-30
CRM_B_P_PROV_00098_799,CRM_B_O_ORG_0255_690,Primary,2025-10-21
CRM_B_P_PROV_00098_130,CRM_A_O_ORG_0018_577,Primary,2023-01-19
CRM_B_P_PROV_00098_130,CRM_A_O_ORG_0029_859,Secondary,2022-05-07
CRM_A_P_PROV_00099_726,CRM_A_O_ORG_0002_168,Primary,2022-02-24
CRM_B_P_PROV_00099_165,CRM_B_O_ORG_0029_746,Primary,2020-08-31
CRM_A_P_PROV_00099_394,CRM_B_O_ORG_0295_145,Primary,2022-08-19
CRM_A_P_PROV_00100_197,CRM_B_O_ORG_0186_347,Primary,2021-05-06
CRM_B_P_PROV_00100_925,CRM_B_O_ORG_0229_451,Primary,2021-01-23
CRM_B_P_PROV_00100_813,CRM_A_O_ORG_0349_610,Primary,2022-08-12
CRM_A_P_PROV_00101_297,CRM_B_O_ORG_0025_933,Primary,2021-07-18
CRM_A_P_PROV_00102_857,CRM_B_O_ORG_0118_788,Primary,2025-03-05
CRM_B_P_PROV_00102_710,CRM_B_O_ORG_0352_832,Primary,2021-04-10
CRM_B_P_PROV_00102_710,CRM_A_O_ORG_0306_892,Secondary,2023-09-11
CRM_A_P_PROV_00103_427,CRM_B_O_ORG_0135_920,Primary,2024-01-21
CRM_B_P_PROV_00103_120,CRM_B_O_ORG_0163_444,Primary,2025-10-24
CRM_A_P_PROV_00104_582,CRM_B_O_ORG_0127_788,Primary,2021-09-03
CRM_B_P_PROV_00104_476,CRM_A_O_ORG_0229_605,Primary,2022-09-11
CRM_A_P_PROV_00104_146,CRM_A_O_ORG_0387_823,Primary,2025-03-10
CRM_A_P_PROV_00105_607,CRM_A_O_ORG_0407_170,Primary,2022-08-30
CRM_B_P_PROV_00105_876,CRM_A_O_ORG_0007_270,Primary,2025-01-29
CRM_A_P_PROV_00106_432,CRM_B_O_ORG_0110_895,Primary,2022-07-06
CRM_B_P_PROV_00106_575,CRM_A_O_ORG_0158_623,Primary,2021-08-15
CRM_A_P_PROV_00107_271,CRM_B_O_ORG_0226_232,Primary,2021-05-31
CRM_B_P_PROV_00107_797,CRM_A_O_ORG_0126_889,Primary,2020-09-04
CRM_A_P_PROV_00108_107,CRM_B_O_ORG_0119_714,Primary,2024-02-02
CRM_B_P_PROV_00108_590,CRM_B_O_ORG_0073_120,Primary,2023-12-19
CRM_A_P_PROV_00109_436,CRM_A_O_ORG_0058_185,Primary,2020-11-01
CRM_B_P_PROV_00109_792,CRM_A_O_ORG_0376_134,Primary,2021-03-13
CRM_A_P_PROV_00110_674,CRM_A_O_ORG_0330_274,Primary,2023-05-19
CRM_A_P_PROV_00110_674,CRM_A_O_ORG_0398_277,Secondary,2025-10-16
CRM_B_P_PROV_00110_104,CRM_B_O_ORG_0165_473,Primary,2023-06-21
CRM_B_P_PROV_00110_420,CRM_B_O_ORG_0229_451,Primary,2024-04-09
CRM_B_P_PROV_00110_420,CRM_A_O_ORG_0147_824,Secondary,2025-07-15
CRM_A_P_PROV_00111_562,CRM_B_O_ORG_0205_199,Primary,2025-02-28
CRM_B_P_PROV_00111_681,CRM_B_O_ORG_0335_402,Primary,2024-03-10
CRM_A_P_PROV_00112_767,CRM_A_O_ORG_0246_764,Primary,2022-03-16
CRM_A_P_PROV_00112_767,CRM_A_O_ORG_0147_824,Secondary,2022-05-05
CRM_B_P_PROV_00112_539,CRM_A_O_ORG_0335_700,Primary,2022-07-03
CRM_A_P_PROV_00113_608,CRM_A_O_ORG_0129_453,Primary,2022-05-24
CRM_A_P_PROV_00113_608,CRM_B_O_ORG_0229_451,Secondary,2025-07-27
CRM_B_P_PROV_00113_600,CRM_B_O_ORG_0361_692,Primary,2022-05-22
CRM_A_P_PROV_00114_200,CRM_B_O_ORG_0108_560,Primary,2023-08-27
