source_system,org_id_source,org_name,org_type,address_line1,city,state,postal_code,country,updated_at,org_name_raw,address_raw,postal_raw
CRM_A,CRM_A_O_ORG_0005_597,Trivedi-Pandya Hospital,Hospital,h.no. 76 parmar marg,Mehsana,OH,55205,US,2025-12-07T09:11:12,Trivedi-Pandya Hospital,"H.No. 76
Parmar Marg",55205
CRM_B,CRM_B_O_ORG_0005_445,Trivedi-Pandya Hospital,Hospital,h.no. 76 parmar marg,Mehsana,OH,55205,US,2025-12-11T13:47:55,Trivedi-Pandya Hospital,H.No. 76 Parmar Marg,55205
CRM_A,CRM_A_O_ORG_0006_194,Agrawal-Nagy Clinic,Clinic,65/06 sachdev chowk,Naihati,UP,491727,IN,2025-11-05T15:54:14,Agrawal-Nagy Clinic,"65/06, Sachdev Chowk",491727
CRM_B,CRM_B_O_ORG_0006_825,Agrawal-Nagy Clinic,Clinic,65/06 sachdev chowk,Naihati,UP,491727,IN,2026-01-07T00:40:59,Agrawal-Nagy Clinic,"65/06, Sachdev Chowk",491727
CRM_A,CRM_A_O_ORG_0007_270,Chaudhary Llc Hospital,Hospital,h.no. 92 sachar path,Delhi,PA,36687,US,2025-11-23T13:50:16,Chaudhary LLC Hospital,"H.No. 92, Sachar Path",36687
CRM_B,CRM_B_O_ORG_0007_462,Chaudhary Llc Hospital,Hospital,h.no. 92 sachar path,Delhi,PA,36687,US,2025-11-30T23:33:54,Chaudhary LLC Hospital,"H.No. 92, Sachar Path",36687
CRM_A,CRM_A_O_ORG_0008_152,Gandhi-Samra Hospital,Hospital,97 parikh,Bongaigaon,WA,82810,US,2025-12-26T14:20:39,Gandhi-Samra Hospital,"97
Parikh",82810
CRM_B,CRM_B_O_ORG_0008_641,Gandhi-Samra Hospital,Hospital,97 parikh,Bongaigaon,WA,82810,US,2025-10-20T03:36:51,Gandhi-Samra Hospital,"97
Parikh",82810
CRM_A,CRM_A_O_ORG_0009_104,Mistry Ltd Clinic,Clinic,06 tripathi ganj,Dibrugarh,CO,30455,US,2025-12-04T15:20:38,Mistry Ltd Clinic,"06
Tripathi Ganj",30455
CRM_B,CRM_B_O_ORG_0009_763,Mistry Ltd Clinic,Clinic,06 tripathi ganj,Dibrugarh,CO,30455,US,2025-11-02T09:05:05,Mistry Ltd Clinic,"06
Tripathi Ganj",30455
CRM_A,CRM_A_O_ORG_0010_977,Balay-Merchant Lab,Lab,27 acharya path,Bhopal,VA,61735,US,2026-01-04T15:29:25,Balay-Merchant Lab,"27, Acharya Path",61735
CRM_B,CRM_B_O_ORG_0010_187,Balay-Merchant Lab,Lab,27 acharya path,Bhopal,VA,61735,US,2026-01-15T07:49:04,Balay-Merchant Lab,27 Acharya Path,61735
CRM_A,CRM_A_O_ORG_0011_671,"Dugar, Gole And Natt Pharmacy",Pharmacy,h.no. 238 ghosh nagar,Bilaspur,,97936,US,2025-10-09T18:09:33,"Dugar, Gole and Natt Pharmacy","H.No. 238, Ghosh Nagar",97936
CRM_B,CRM_B_O_ORG_0011_225,"Dugar, Gole And Natt Pharmacy",Pharmacy,h.no. 238 ghosh nagar,Bilaspur,,97936,US,2025-12-14T15:02:51,"Dugar, Gole and Natt Pharmacy","H.No. 238, Ghosh Nagar",97936
CRM_A,CRM_A_O_ORG_0012_566,"Raja, Desai And Tailor Hospital",Hospital,514 shetty circle,Gudivada,PA,28129,US,2026-02-19T03:16:00,"Raja, Desai and Tailor Hospital","514
Shetty Circle",28129
CRM_A,CRM_A_O_ORG_0013_888,Chand-Murty Hospital,Hospital,954 khosla path,Rajahmundry,WB,855018,IN,2026-01-03T13:02:31,Chand-Murty Hospital,"954, Khosla Path",855018
CRM_B,CRM_B_O_ORG_0013_525,Chand-Murty Hospital,Hospital,954 khosla path,Rajahmundry,WB,855018,IN,2025-10-31T21:17:03,Chand-Murty Hospital,"954, Khosla Path",855018
CRM_A,CRM_A_O_ORG_0014_385,"Karan, Narula And Tella Lab",Lab,99/91 palan marg,Karnal,MA,43177,US,2025-10-17T05:28:21,"Karan, Narula and Tella Lab","99/91
Palan Marg",43177
CRM_B,CRM_B_O_ORG_0014_873,"Karan, Narula And Tella Lab",Lab,99/91 palan marg,Karnal,MA,43177,US,2026-01-21T07:22:50,"Karan, Narula and Tella Lab","99/91
Palan Marg",43177
CRM_A,CRM_A_O_ORG_0015_938,"Nori, Dhar And Deol Clinic",Clinic,51/209 bhatti nagar,Mehsana,WB,889303,IN,2025-12-07T13:10:45,"Nori, Dhar and Deol Clinic","51/209
Bhatti Nagar",889303
CRM_B,CRM_B_O_ORG_0015_293,"Nori, Dhar And Deol Clinic",Clinic,51/209 bhatti nagar,Mehsana,WB,889303,IN,2025-11-14T14:18:50,"Nori, Dhar and Deol Clinic","51/209
Bhatti Nagar",889303
CRM_A,CRM_A_O_ORG_0016_581,"Mittal, Shankar And Krish Pharmacy",Pharmacy,h.no. 149 khare marg,Bhusawal,NY,76782,US,2025-12-05T04:07:39,"Mittal, Shankar and Krish Pharmacy","H.No. 149, Khare Marg",76782-3726
CRM_B,CRM_B_O_ORG_0016_435,"Mittal, Shankar And Krish Pharmacy",Pharmacy,h.no. 149 khare marg,Bhusawal,NY,76782,US,2025-11-08T10:02:15,"Mittal, Shankar and Krish Pharmacy","H.No. 149, Khare Marg",76782-3726
CRM_A,CRM_A_O_ORG_0017_659,Char Inc Pharmacy,Pharmacy,04/596 sethi zila,Ghaziabad,UP,622993,IN,2025-10-21T21:52:08,Char Inc Pharmacy,"04/596
Sethi Zila",622993
CRM_B,CRM_B_O_ORG_0017_210,Char Inc Pharmacy,Pharmacy,04/596 sethi zila,Ghaziabad,UP,622993,IN,2025-12-19T16:09:07,Char Inc Pharmacy,"04/596
Sethi Zila",622993
CRM_B,CRM_B_O_ORG_0017_663,Char Incorporated Pharmacy,Pharmacy,04/596 sethi zila,Ghaziabad,UP,622993,IN,2025-11-15T14:21:45,Char Incorporated Pharmacy,"04/596
Sethi Zila",622993
CRM_A,CRM_A_O_ORG_0018_577,Pathak Plc Pharmacy,Pharmacy,h.no. 83 mannan road,Ghaziabad,AZ,53983,US,2025-10-26T03:44:31,Pathak PLC Pharmacy,"H.No. 83
Mannan Road",53983-5148
CRM_B,CRM_B_O_ORG_0018_650,Pathak Plc Pharmacy,Pharmacy,h.no. 83 mannan road,Ghaziabad,AZ,53983,US,2026-01-08T17:24:07,Pathak PLC Pharmacy,"H.No. 83
Mannan Road",53983-5148
CRM_B,CRM_B_O_ORG_0018_340,Pathak Plc Pharmacy,Pharmacy,h.no. 83 mannan road,Ghaziabad,AZ,53983,US,2025-12-01T03:03:38,Pathak PLC Pharmacy,"H.No. 83
Mannan Road",53983-5148
CRM_A,CRM_A_O_ORG_0019_637,"Mahajan, Ganguly And Chakraborty Diagnostic Center",Diagnostic Center,42/084 varkey zila,Bongaigaon,MA,83700,US,2026-01-17T18:54:46,"Mahajan, Ganguly and Chakraborty Diagnostic Center","42/084, Varkey Zila",83700
CRM_B,CRM_B_O_ORG_0019_949,"Mahajan, Ganguly And Chakraborty Diagnostic Center",Diagnostic Center,42/084 varkey zila,Bongaigaon,MA,83700,US,2026-01-12T18:45:00,"Mahajan, Ganguly and Chakraborty Diagnostic Center","42/084, Varkey Zila",83700
CRM_A,CRM_A_O_ORG_0020_157,"Ray, Nagi And Madan Hospital",Hospital,87 nair street,Visakhapatnam,MH,219248,IN,2025-10-29T04:05:54,"Ray, Nagi and Madan Hospital","87, Nair Street",219248
CRM_B,CRM_B_O_ORG_0020_316,"Ray, Nagi And Madan Hospital",Hospital,87 nair street,Visakhapatnam,MH,219248,IN,2025-10-26T14:55:59,"Ray, Nagi and Madan Hospital","87, Nair Street",219248
CRM_A,CRM_A_O_ORG_0021_337,"Prakash, Mukhopadhyay And Dar Lab",Lab,h.no. 909 shankar ganj,Sultan Pur Majra,TS,900690,IN,2025-12-17T07:50:20,"Prakash, Mukhopadhyay and Dar Lab","H.No. 909
Shankar Ganj",900690
CRM_B,CRM_B_O_ORG_0021_599,"Prakash, Mukhopadhyay And Dar Lab",Lab,h.no. 909 shankar ganj,Sultan Pur Majra,TS,900690,IN,2025-11-27T09:01:28,"Prakash, Mukhopadhyay and Dar Lab",H.No. 909 Shankar Ganj,900690
CRM_A,CRM_A_O_ORG_0022_791,Agate-Savant Lab,Lab,06/169 chowdhury road,Bharatpur,DL,152343,IN,2025-12-01T04:50:41,Agate-Savant Lab,"06/169
Chowdhury Road",152343
CRM_B,CRM_B_O_ORG_0022_726,Agate-Savant Lab,Lab,06/169 chowdhury road,Bharatpur,DL,152343,IN,2025-11-03T20:20:57,Agate-Savant Lab,"06/169
Chowdhury Road",152343
CRM_A,CRM_A_O_ORG_0023_506,Garg Plc Lab,Lab,36/95 patla path,Shivpuri,,405946,IN,2025-12-14T05:45:52,Garg PLC Lab,"36/95
Patla Path",405946
CRM_B,CRM_B_O_ORG_0023_349,Garg Plc Lab,Lab,36/95 patla path,Shivpuri,,405946,IN,2025-11-02T14:52:42,Garg PLC Lab,"36/95
Patla Path",405946
CRM_B,CRM_B_O_ORG_0023_622,Garg Plc Lab,Lab,36/95 patla path,Shivpuri,,405946,IN,2025-11-11T17:53:59,Garg PLC Lab,"36/95
Patla Path",405946
CRM_A,CRM_A_O_ORG_0024_794,Bhatia-Rout Diagnostic Center,Diagnostic Center,691 rama path,Khora,OH,94185,US,2026-01-26T17:22:07,Bhatia-Rout Diagnostic Center,"691, Rama Path",94185
CRM_B,CRM_B_O_ORG_0024_284,Bhatia-Rout Diagnostic Center,Diagnostic Center,691 rama path,Khora,OH,94185,US,2025-11-28T12:35:18,Bhatia-Rout Diagnostic Center,"691, Rama Path",94185
CRM_B,CRM_B_O_ORG_0024_652,Bhatia-Rout Diagnostic Center,Diagnostic Center,691 rama path,Khora,OH,94185,US,2026-01-08T08:12:43,Bhatia-Rout Diagnostic Center,"691, Rama Path",94185
CRM_A,CRM_A_O_ORG_0025_365,Saran Inc Diagnostic Center,Diagnostic Center,61 apte nagar,Kamarhati,AK,85638,US,2026-01-24T22:00:41,Saran Inc Diagnostic Center,"61, Apte Nagar",85638
CRM_B,CRM_B_O_ORG_0025_933,Saran Inc Diagnostic Center,Diagnostic Center,61 apte nagar,Kamarhati,AK,85638,US,2026-01-24T11:24:56,Saran Inc Diagnostic Center,61 Apte Nagar,85638
CRM_A,CRM_A_O_ORG_0026_362,Bose-Devan Hospital,Hospital,45/96 choudhary,Nandyal,AK,18052,US,2025-12-30T10:16:52,Bose-Devan Hospital,"45/96, Choudhary",18052-5455
CRM_B,CRM_B_O_ORG_0026_755,Bose-Devan Hospital,Hospital,45/96 choudhary,Nandyal,AK,18052,US,2025-11-03T17:33:34,Bose-Devan Hospital,"45/96, Choudhary",18052-5455
CRM_A,CRM_A_O_ORG_0027_750,Lal Plc Diagnostic Center,Diagnostic Center,856 jayaraman ganj,Secunderabad,MI,37993,US,2026-01-12T04:25:18,Lal PLC Diagnostic Center,"856
Jayaraman Ganj",37993
CRM_B,CRM_B_O_ORG_0027_956,Lal Plc Diagnostic Ctr,Diagnostic Center,856 jayaraman ganj,Secunderabad,MI,37993,US,2025-11-03T19:33:50,Lal PLC Diagnostic Ctr,"856
Jayaraman Ganj",37993
CRM_A,CRM_A_O_ORG_0028_362,"Vala, Luthra And Chada Hospital",Hospital,87/870 varty zila,Chandigarh,TS,387771,IN,2025-11-15T00:06:59,"Vala, Luthra and Chada Hospital","87/870, Varty Zila",387771
CRM_B,CRM_B_O_ORG_0028_795,"Vala, Luthra And Chada Hospital",Hospital,87/870 varty zila,Chandigarh,TS,387771,IN,2025-10-10T12:20:36,"Vala, Luthra and Chada Hospital","87/870, Varty Zila",387771
CRM_A,CRM_A_O_ORG_0029_156,Kashyap And Sons Pharmacy,Pharmacy,52/33 lata zila,Rourkela,FL,76281,US,2026-02-07T19:39:26,Kashyap and Sons Pharmacy,"52/33
Lata Zila",76281
CRM_B,CRM_B_O_ORG_0029_746,Kashyap And Sons Pharmacy,Pharmacy,52/33 lata zila,Rourkela,FL,76281,US,2026-01-24T12:09:24,Kashyap and Sons Pharmacy,"52/33
Lata Zila",76281
CRM_A,CRM_A_O_ORG_0029_859,Kashyap And Sons Pharmacy,Pharmacy,52/33 lata zila,Rourkela,FL,76281,US,2026-01-14T20:15:42,Kashyap and Sons Pharmacy,"52/33
Lata Zila",76281
CRM_A,CRM_A_O_ORG_0030_171,Bumb-Sathe Hospital,Hospital,71/278 saha chowk,Sambalpur,AK,62863,US,2025-11-27T04:04:51,Bumb-Sathe Hospital,"71/278, Saha Chowk",62863
CRM_B,CRM_B_O_ORG_0030_861,Bumb-Sathe Hospital,Hospital,71/278 saha chowk,Sambalpur,AK,62863,US,2025-10-23T13:07:28,Bumb-Sathe Hospital,"71/278, Saha Chowk",62863
CRM_A,CRM_A_O_ORG_0031_708,"Uppal, Sundaram And Baria Pharmacy",Pharmacy,220 dhar circle,Meerut,MD,69087,US,2026-01-06T12:08:27,"Uppal, Sundaram and Baria Pharmacy","220, Dhar Circle",69087
CRM_B,CRM_B_O_ORG_0031_519,"Uppal, Sundaram And Baria Pharmacy",Pharmacy,220 dhar circle,Meerut,MD,69087,US,2025-11-30T21:59:33,"Uppal, Sundaram and Baria Pharmacy","220, Dhar Circle",69087
CRM_A,CRM_A_O_ORG_0032_632,Manda-Venkataraman Diagnostic Center,Diagnostic Center,35/197 chaudhari circle,Rohtak,AK,70632,US,2026-01-01T06:48:52,Manda-Venkataraman Diagnostic Center,"35/197
Chaudhari Circle",70632-2682
CRM_B,CRM_B_O_ORG_0032_953,Manda-Venkataraman Diagnostic Ctr,Diagnostic Center,35/197 chaudhari circle,Rohtak,AK,70632,US,2025-11-09T14:49:59,Manda-Venkataraman Diagnostic Ctr,35/197 Chaudhari Circle,70632-2682
CRM_B,CRM_B_O_ORG_0032_100,Manda-Venkataraman Diagnostic Center,Diagnostic Center,35/197 chaudhari circle,Rohtak,AK,70632,US,2026-01-07T08:13:27,Manda-Venkataraman Diagnostic Center,"35/197
Chaudhari Circle",70632-2682
CRM_A,CRM_A_O_ORG_0033_870,"Pandit, Soni And Choudhury Diagnostic Center",Diagnostic Center,h.no. 25 badal,Gaya,WA,36765,US,2025-12-18T12:02:40,"Pandit, Soni and Choudhury Diagnostic Center","H.No. 25, Badal",36765
CRM_B,CRM_B_O_ORG_0033_800,"Pandit, Soni And Choudhury Diagnostic Center",Diagnostic Center,h.no. 25 badal,Gaya,WA,36765,US,2025-11-30T10:41:05,"Pandit, Soni and Choudhury Diagnostic Center","H.No. 25, Badal",36765
CRM_A,CRM_A_O_ORG_0034_286,"Menon, Gala And Deol Hospital",Hospital,h.no. 701 kapoor circle,Mathura,CA,61021,US,2026-01-30T20:26:44,"Menon, Gala and Deol Hospital","H.No. 701
Kapoor Circle",61021
CRM_B,CRM_B_O_ORG_0034_864,"Menon, Gala And Deol Hospital",Hospital,h.no. 701 kapoor circle,Mathura,CA,61021,US,2025-11-04T13:38:53,"Menon, Gala and Deol Hospital",H.No. 701 Kapoor Circle,61021
CRM_A,CRM_A_O_ORG_0035_408,Tailor-Majumdar Hospital,Hospital,h.no. 03 om nagar,Chapra,PA,84879,US,2025-11-13T08:57:10,Tailor-Majumdar Hospital,"H.No. 03, Om Nagar",84879
CRM_B,CRM_B_O_ORG_0035_843,Tailor-Majumdar Hospital,Hospital,h.no. 03 om nagar,Chapra,PA,84879,US,2025-12-10T09:35:56,Tailor-Majumdar Hospital,"H.No. 03, Om Nagar",84879
CRM_A,CRM_A_O_ORG_0036_493,Natarajan Ltd Diagnostic Center,Diagnostic Center,33 palan ganj,Muzaffarpur,NC,78329,US,2025-11-11T01:00:37,Natarajan Ltd Diagnostic Center,"33, Palan Ganj",78329
CRM_B,CRM_B_O_ORG_0036_201,Natarajan Ltd Diagnostic Center,Diagnostic Center,33 palan ganj,Muzaffarpur,NC,78329,US,2025-10-07T23:29:18,Natarajan Ltd Diagnostic Center,"33, Palan Ganj",78329
CRM_A,CRM_A_O_ORG_0037_831,Tella-Gade Hospital,Hospital,h.no. 152 sur,Begusarai,FL,15463,US,2025-11-15T05:03:28,Tella-Gade Hospital,"H.No. 152, Sur",15463
CRM_B,CRM_B_O_ORG_0037_699,Tella-Gade Hospital,Hospital,h.no. 152 sur,Begusarai,FL,15463,US,2025-12-12T09:54:57,Tella-Gade Hospital,"H.No. 152, Sur",15463
CRM_A,CRM_A_O_ORG_0038_484,Mani-Raval Diagnostic Center,Diagnostic Center,h.no. 167 bera nagar,Dehradun,AL,34850,US,2025-12-08T10:38:37,Mani-Raval Diagnostic Center,"H.No. 167, Bera Nagar",34850
CRM_B,CRM_B_O_ORG_0038_357,Mani-Raval Diagnostic Center,Diagnostic Center,h.no. 167 bera nagar,Dehradun,AL,34850,US,2026-01-29T03:55:55,Mani-Raval Diagnostic Center,"H.No. 167, Bera Nagar",34850
CRM_B,CRM_B_O_ORG_0038_490,Mani-Raval Diagnostic Center,Diagnostic Center,h.no. 167 bera nagar,Dehradun,AL,34850,US,2025-10-29T11:19:12,Mani-Raval Diagnostic Center,"H.No. 167, Bera Nagar",34850
CRM_A,CRM_A_O_ORG_0039_879,Varkey And Sons Lab,Lab,407 sant marg,Naihati,TX,67636,US,2026-01-13T17:14:34,Varkey and Sons Lab,"407, Sant Marg",67636
CRM_B,CRM_B_O_ORG_0039_925,Varkey And Sons Lab,Lab,407 sant marg,Naihati,TX,67636,US,2025-11-29T21:23:48,Varkey and Sons Lab,"407, Sant Marg",67636
CRM_A,CRM_A_O_ORG_0040_345,"Kala, Ramachandran And Dua Lab",Lab,h.no. 350 cheema zila,Gopalpur,TX,42435,US,2025-11-16T13:21:57,"Kala, Ramachandran and Dua Lab","H.No. 350, Cheema Zila",42435
CRM_B,CRM_B_O_ORG_0040_161,"Kala, Ramachandran And Dua Lab",Lab,h.no. 350 cheema zila,Gopalpur,TX,42435,US,2026-01-12T10:07:40,"Kala, Ramachandran and Dua Lab","H.No. 350, Cheema Zila",42435
CRM_A,CRM_A_O_ORG_0041_996,Purohit-Narain Diagnostic Center,Diagnostic Center,29/18 trivedi road,Raurkela Industrial Township,VA,30869,US,2025-11-21T09:19:02,Purohit-Narain Diagnostic Center,"29/18, Trivedi Road",30869
CRM_A,CRM_A_O_ORG_0042_808,Mall-Sarna Pharmacy,Pharmacy,h.no. 47 bhakta street,Unnao,CO,15677,US,2025-11-17T07:23:49,Mall-Sarna Pharmacy,"H.No. 47, Bhakta Street",15677
CRM_B,CRM_B_O_ORG_0042_932,Mall-Sarna Pharmacy,Pharmacy,h.no. 47 bhakta street,Unnao,CO,15677,US,2026-01-17T18:05:53,Mall-Sarna Pharmacy,"H.No. 47, Bhakta Street",15677
CRM_A,CRM_A_O_ORG_0043_519,Mohan-Dass Lab,Lab,56 kurian ganj,Firozabad,MD,66066,US,2026-02-08T07:21:57,Mohan-Dass Lab,"56, Kurian Ganj",66066
CRM_B,CRM_B_O_ORG_0043_692,Mohan-Dass Lab,Lab,56 kurian ganj,Firozabad,MD,66066,US,2026-01-27T05:19:55,Mohan-Dass Lab,"56, Kurian Ganj",66066
CRM_A,CRM_A_O_ORG_0043_806,Mohan-Dass Lab,Lab,56 kurian ganj,Firozabad,MD,66066,US,2026-02-09T01:09:12,Mohan-Dass Lab,"56, Kurian Ganj",66066
CRM_A,CRM_A_O_ORG_0044_228,Nanda-Chaudhuri Hospital,Hospital,h.no. 44 patil marg,Tirupati,WA,36528,US,2025-11-19T08:16:20,Nanda-Chaudhuri Hospital,"H.No. 44
Patil Marg",36528
CRM_B,CRM_B_O_ORG_0044_547,Nanda-Chaudhuri Hospital,Hospital,h.no. 44 patil marg,Tirupati,WA,36528,US,2026-01-05T16:14:39,Nanda-Chaudhuri Hospital,"H.No. 44
Patil Marg",36528
CRM_A,CRM_A_O_ORG_0045_196,"Bir, Master And Nadkarni Clinic",Clinic,h.no. 28 walla circle,Bihar Sharif,PA,70558,US,2026-01-25T04:02:15,"Bir, Master and Nadkarni Clinic","H.No. 28, Walla Circle",70558
CRM_A,CRM_A_O_ORG_0046_872,Nadkarni-Badal Diagnostic Center,Diagnostic Center,h.no. 431 memon chowk,Solapur,NC,39095,US,2025-12-26T11:33:12,Nadkarni-Badal Diagnostic Center,"H.No. 431, Memon Chowk",39095
CRM_B,CRM_B_O_ORG_0046_908,Nadkarni-Badal Diagnostic Ctr,Diagnostic Center,h.no. 431 memon chowk,Solapur,NC,39095,US,2025-11-12T05:36:03,Nadkarni-Badal Diagnostic Ctr,"H.No. 431, Memon Chowk",39095
CRM_A,CRM_A_O_ORG_0047_841,Chaudhari And Sons Hospital,Hospital,99/754 kanda circle,Morbi,AZ,26486,US,2025-10-12T14:39:02,Chaudhari and Sons Hospital,"99/754
Kanda Circle",26486
CRM_B,CRM_B_O_ORG_0047_137,Chaudhari And Sons Hosp,Hospital,99/754 kanda circle,Morbi,AZ,26486,US,2026-01-05T05:24:47,Chaudhari and Sons Hosp,"99/754
Kanda Circle",26486
CRM_A,CRM_A_O_ORG_0048_600,Sule-Deo Pharmacy,Pharmacy,15/422 d’alia road,Ratlam,TN,211668,IN,2026-01-15T09:38:52,Sule-Deo Pharmacy,"15/422
D’Alia Road",211668
CRM_B,CRM_B_O_ORG_0048_189,Sule-Deo Pharmacy,Pharmacy,15/422 d’alia road,Ratlam,TN,211668,IN,2025-11-10T06:20:23,Sule-Deo Pharmacy,"15/422
D’Alia Road",211668
CRM_A,CRM_A_O_ORG_0049_385,Jani Plc Pharmacy,Pharmacy,h.no. 12 soman road,Bokaro,KA,957928,IN,2025-10-15T09:08:09,Jani PLC Pharmacy,"H.No. 12, Soman Road",957928
CRM_B,CRM_B_O_ORG_0049_777,Jani Plc Pharmacy,Pharmacy,h.no. 12 soman road,Bokaro,KA,957928,IN,2026-01-29T14:39:07,Jani PLC Pharmacy,"H.No. 12, Soman Road",957928
CRM_A,CRM_A_O_ORG_0050_254,Shah And Sons Diagnostic Center,Diagnostic Center,41 subramanian,Thrissur,AL,26392,US,2025-11-10T02:59:03,Shah and Sons Diagnostic Center,"41, Subramanian",26392
CRM_B,CRM_B_O_ORG_0050_854,Shah And Sons Diagnostic Center,Diagnostic Center,41 subramanian,Thrissur,AL,26392,US,2025-11-30T22:52:57,Shah and Sons Diagnostic Center,41 Subramanian,26392
CRM_B,CRM_B_O_ORG_0050_903,Shah And Sons Diagnostic Center,Diagnostic Center,41 subramanian,Thrissur,AL,26392,US,2025-12-01T23:47:29,Shah and Sons Diagnostic Center,"41, Subramanian",26392
CRM_A,CRM_A_O_ORG_0051_597,Bawa-Ben Clinic,Clinic,239 suri,Bhagalpur,,682557,IN,2025-10-16T21:17:47,Bawa-Ben Clinic,"239
Suri",682557
CRM_B,CRM_B_O_ORG_0051_350,Bawa-Ben Clinic,Clinic,239 suri,Bhagalpur,,682557,IN,2025-12-11T06:06:57,Bawa-Ben Clinic,"239
Suri",682557
CRM_A,CRM_A_O_ORG_0052_169,Pradhan And Sons Pharmacy,Pharmacy,h.no. 858 sharma ganj,Raurkela Industrial Township,WB,931896,IN,2025-12-09T08:35:38,Pradhan and Sons Pharmacy,"H.No. 858, Sharma Ganj",931896
CRM_B,CRM_B_O_ORG_0052_993,Pradhan And Sons Pharmacy,Pharmacy,h.no. 858 sharma ganj,Raurkela Industrial Township,WB,931896,IN,2026-02-01T15:08:04,Pradhan and Sons Pharmacy,"H.No. 858, Sharma Ganj",931896
CRM_A,CRM_A_O_ORG_0053_709,"Gola, Sagar And Kara Hospital",Hospital,h.no. 894 chaudhry path,Proddatur,NY,75701,US,2025-12-06T17:39:20,"Gola, Sagar and Kara Hospital","H.No. 894, Chaudhry Path",75701
CRM_B,CRM_B_O_ORG_0053_938,"Gola, Sagar And Kara Hospital",Hospital,h.no. 894 chaudhry path,Proddatur,NY,75701,US,2025-12-10T12:20:02,"Gola, Sagar and Kara Hospital","H.No. 894, Chaudhry Path",75701
CRM_A,CRM_A_O_ORG_0054_114,"Pal, Tripathi And Varty Pharmacy",Pharmacy,11/99 golla road,Mehsana,MD,61109,US,2026-02-04T11:28:37,"Pal, Tripathi and Varty Pharmacy","11/99, Golla Road",61109
CRM_B,CRM_B_O_ORG_0054_400,"Pal, Tripathi And Varty Pharmacy",Pharmacy,11/99 golla road,Mehsana,MD,61109,US,2026-01-31T20:12:42,"Pal, Tripathi and Varty Pharmacy","11/99, Golla Road",61109
CRM_B,CRM_B_O_ORG_0054_792,"Pal, Tripathi And Varty Pharmacy",Pharmacy,11/99 golla road,Mehsana,MD,61109,US,2025-11-15T04:18:07,"Pal, Tripathi and Varty Pharmacy",11/99 Golla Road,61109
CRM_A,CRM_A_O_ORG_0055_825,"Keer, Mangal And Deshmukh Pharmacy",Pharmacy,43 nagar ganj,Maheshtala,WA,29192,US,2025-11-25T05:09:45,"Keer, Mangal and Deshmukh Pharmacy","43, Nagar Ganj",29192
CRM_B,CRM_B_O_ORG_0055_726,"Keer, Mangal And Deshmukh Pharmacy",Pharmacy,43 nagar ganj,Maheshtala,WA,29192,US,2025-11-04T05:32:39,"Keer, Mangal and Deshmukh Pharmacy","43, Nagar Ganj",29192
